"";"route_n";"next_stop_dist";"name";"bus";"tram";"trolley";"minibus";"lat";"lon";"Широта.(МСК-61)";"Долгота.(МСК-61)";"n_bus";"n_tram";"n_trolley";"n_minibus";"n_all";"NA"
"6263";"55";363,0649;"пр. Ворошиловский";NA;NA;"5";"29, 98, 88, 80, 67, 59, 55, 52, 40";47,22863;39,7155;422484,1;2204097;0;0;1;9;10;58
"4823";"55";419,1771;"пер. Семашко";NA;NA;"5";"98, 88, 80, 67, 59, 55, 52, 40, 29";47,22751;39,71083;422365,3;2203741;0;0;1;9;10;40
"6204";"55";528,6594;"пр. Будённовский";"21";NA;"5";"98, 88, 80, 67, 59, 55, 52, 40, 29, 21";47,22612;39,70374;422219,6;2203202;1;0;1;10;12;57
"1704";"55";511,4358;"Гвардейская площадь";"21";NA;"5";"98, 88, 80, 67, 59, 55, 52, 40, 29, 21";47,22438;39,69542;422036,5;2202568;1;0;1;10;12;15
"1812";"55";65,59622;"Главный автовокзал";"80, 70, 3а";NA;NA;"98, 90, 67, 55, 52, 40";47,22015;39,69278;421569,5;2202361;3;0;0;6;9;16
"1842";"55";248,3677;"Главный ЖДВ";"80, 70";NA;NA;"98, 80, 67, 59, 55, 52, 40";47,21959;39,69251;421507,6;2202339;2;0;0;7;9;17
"6752";"55";358,9118;"Пригородный ЖДВ";"98, 67, 39";NA;NA;"98, 67, 59, 55, 52, 40";47,21714;39,69605;421230,8;2202603;3;0;0;6;9;69
"5558";"55";717,223;"пл. Стачки 1902 года";"4, 98, 15, 16, 26, 34, 41, 57, 64, 67, 71, 34а";NA;"12, 8";"4, 34, 40, 44, 48, 52, 55, 59, 8, 71, 16, 98, 67";47,21383;39,69583;420863,1;2202580;12;0;2;13;27;48
"5076";"55";435,512;"Переходной мост";"16, 4, 26, 34, 34а, 41, 57, 64, 67, 71, 98, 15";NA;"12, 8";"34, 16, 40, 44, 52, 55, 59, 67, 71, 98, 8";47,21166;39,68585;420634,4;2201820;12;0;2;11;25;43
"8666";"55";458,5171;"ул. Бабушкина";"98, 15, 16, 26, 34, 34а, 41, 57, 64, 67, 71, 4";NA;"12, 8";"16, 34, 40, 44, 52, 55, 59, 67, 71, 98, 8";47,21122;39,67894;420594,2;2201296;12;0;2;11;25;85
"5305";"55";299,5249;"пл. Дружинников";"98, 16, 26, 34, 34а, 41, 57, 64, 67, 15, 71";NA;"12";"34, 40, 44, 52, 55, 59, 67, 71, 98, 16";47,21094;39,67126;420572,8;2200713;11;0;1;10;22;46
"9545";"55";117,758;"ул. Кулагина";"64, 57, 34а, 34, 26, 16, 15, 98, 67, 71";NA;"12";"98, 16, 34, 40, 44, 52, 55, 59, 71, 67";47,21114;39,66731;420600,1;2200415;10;0;1;10;21;87
"8255";"55";180,8525;"Тренёва";"41, 34а, 34, 26, 16, 15, 67, 71, 98, 57, 64";NA;"8";"67, 16, 34, 40, 44, 52, 59, 71, 98, 55";47,21137;39,66579;420627,6;2200300;11;0;1;10;22;80
