Наименование остановки,Автобус,Трамвай,Троллейбус,Маршрутное такси,"Широта 
(ГСК-2011)","Долгота 
(ГСК-2011)","Широта 
(МСК-61)","Долгота 
(МСК-61)"
Главный автовокзал,,,,"99, 38",47.21985,39.69273,"421536,256848728","2202356,29214668"
Главный автовокзал,"80, 70, 3а",,,"98, 90, 67, 55, 52, 40",47.22015,39.69278,"421569,546109832","2202360,63083804"
Главный автовокзал,"33, 3",,"22, 9, 1","78, 20",47.21979,39.69355,"421528,559575994","2202418,29033115"
Главный ЖДВ,7,,,,47.21978,39.69283,"421528,349474174","2202363,73764685"
Главный ЖДВ,"80, 70",,,"98, 80, 67, 59, 55, 52, 40",47.21959,39.69251,"421507,62749354","2202339,15076394"
Главный ЖДВ,,,"22, 9, 5, 1",,47.22068,39.69164,"421629,896454274","2202275,26079839"
Главный ЖДВ,"39, 31, 3а, 3",,,"58, 20",47.2199,39.69193,"421542,817974246","2202295,79054373"
Главный ЖДВ,21,,,"21, 88, 29",47.22043,39.69215,"421601,463913429","2202313,42872349"
Главный ЖДВ,,"4, 1",,,47.21954,39.6924,"421502,206672071","2202330,72714546"
Главный ЖДВ,,"4, 1",,,47.21972,39.69202,"421522,694028563","2202302,27616785"
Глазная клиника,"98, 26, 34, 34а, 41, 57, 64, 67, 71, 16",,8,"34, 40, 44, 52, 55, 59, 67, 71, 98, 16",47.21205,39.65142,"420721,686874218","2199212,59222768"
Горгаз,,,5,"93, 88, 67, 59, 52, 40, 29",47.23735,39.74392,"423418,935532843","2206264,43320725"
Горгаз,,,5,"93, 88, 67, 59, 52, 40, 29",47.23734,39.74322,"423418,666108546","2206211,41351456"
Городской пляж,31,,,,47.20993,39.72164,"420397,61072575","2204528,16426184"
Госпиталь,"99, 96, 94, 49, 1",,,"99, 96, 94, 49, 43, 14",47.26003,39.67552,"426024,902686391","2201127,66172593"
Госпиталь УВОВ,,1,,,47.23636,39.76523,"423283,459029687","2207876,24811031"
Госпиталь УВОВ,,1,,,47.23638,39.76382,"423287,350479472","2207769,51960262"
ГПЗ-10,4,,,"56, 34, 25, 23, 8, 4",47.1996,39.61269,"419388,389494389","2196254,37363691"
ГПЗ-10,"98, 96, 94, 57, 34а, 34, 32",,,"98, 96, 94, 93, 44, 20",47.20009,39.61318,"419442,212123502","2196292,45745231"
ГПЗ-10,,,8,73,47.2011,39.61342,"419554,177029489","2196312,61285072"
ГПЗ-10,"34, 34а, 57, 94, 96, 32",,12,"34, 20, 25, 44, 56, 73, 93, 94, 96, 98, 23",47.20091,39.61368,"419532,708574828","2196331,94202592"
ГСК «Авиатор»,"10, 1",,,"43, 10",47.27846,39.66344,"428089,239400994","2200248,0752718"
ГСК «Авиатор»,"10, 1",,,"43, 10",47.27864,39.66358,"428109,071393296","2200259,00621173"
Детская областная больница,"26, 6",,,"59, 55, 40, 6",47.22517,39.62254,"422218,014855273","2197050,28163179"
Детская областная больница,"26, 6",,,"59, 55, 40, 6",47.22496,39.62299,"422194,074286172","2197083,95501455"
Детский комбинат,"96, 3а, 3, 28, 35, 35а, 36, 42, 42а, 54, 14, 89, 18л",,,"24, 29, 30, 58, 59, 63, 79, 96, 14",47.26131,39.76879,"426053,041757072","2208188,9987729"
Детский комбинат,"89, 3а, 14, 18п, 28, 35, 35а, 36, 42, 3, 54, 94, 42а",,,"94, 14, 24, 29, 30, 58, 59, 63, 79",47.26124,39.7692,"426044,776373159","2208219,90766857"
Детский сад,,,,4,47.19256,39.61942,"418596,804427802","2196750,63566404"
Детский сад,,,,52,47.2364,39.637,"423447,489919948","2198166,94337858"
"ДК ""Ростсельмаш""","98, 67, 54, 3а, 3",,"5, 1","79, 66, 59, 40, 29, 24, 19",47.2505,39.76392,"424857,004075839","2207801,63123642"
ДК Комбайностроителей,,"10, 4",,,47.25069,39.76317,"424879,014997155","2207745,18783328"
ДК Комбайностроителей,,"10, 4",,,47.25083,39.76323,"424894,508274836","2207749,97320426"
Днепродзержинский,68,,,,47.23052,39.82084,"422569,959187073","2212077,29014181"
Дом №111,"94, 63, 58, 42а, 42, 35а, 35, 18п, 17, 5",,,"94, 66, 63, 58, 14",47.24923,39.71938,"424769,489688189","2204427,73537615"
